Seedling	Site	W.C	GrowChamber	Unique.Random.ID	Pot	File.x	Total.Reads.x	Aligned.Reads.x	Unaligned.Reads.x	Ambiguously.Aligned.Reads.x	No.Genomic.Sequence.x	Duplicate.Reads..removed..x	Unique.Reads..remaining..x	Total.Cs.x	Methylated.CpGs.x	Unmethylated.CpGs.x	Methylated.chgs.x	Unmethylated.chgs.x	Methylated.CHHs.x	Unmethylated.CHHs.x	Site.x	Tag	File.y	Total.Reads.y	Aligned.Reads.y	Unaligned.Reads.y	Ambiguously.Aligned.Reads.y	No.Genomic.Sequence.y	Duplicate.Reads..removed..y	Unique.Reads..remaining..y	Total.Cs.y	Methylated.CpGs.y	Unmethylated.CpGs.y	Methylated.chgs.y	Unmethylated.chgs.y	Methylated.CHHs.y	Unmethylated.CHHs.y	Species.x	Site.x.x	Community.x	Plot.x	C.W.G.x	Plant.ID.x	Leaf.collection.DOY.x	Phenology.x	Collector.x	mix	Species.y	Site.y	Plot.y	C.T.x	Plant.ID.y	Date	FLWR.PHENO.Flwr.Bud	FLWR.PHENO.Flwr.Mat	FLWR.PHENO.Flwr.Sen.	FLWR.PHENO.Cap.twist	FLWR.PHENO.Seed.Disp	FLWR.PHE.Aborted	Eaten	Height	PHENO	Flwr_total	Community.y	C.W.G.y	Plot.x.x	Plant.ID.x.x	Phenology.2018	X..Cap.Twist.2019	Collect.	Tag.nearby	X2019.Collection.Count	Collection.2019	Weight.x	Photo.time	Photo.DOY	DOY.Lv.collected	Lf.hairs	Aphids	Crystals.on.lv	DOY.Seed...Lv.Collected.2019	Plate.x	Location.x	Comments.x	Petri.Dish.ID.	C.T.y	Plant.ID.y.y	Species.x.x	Site.y.y	Plot.y.y	X..seeds..50.seeds.	X..seeds.Petri.dish.in.lab	ungerminated.seed.count.GD33	total.germinated.seeds	Seeds.Collection.DOY	Phenology.y	X..seeds..all.seeds.	weight.all.seeds..g.mg.	X..extra.seed	weight.extra.seeds..g.mg.	weight.50.seeds..mg.	Extra.seeds..Y.N.	Processor	Comments.y	Unique.non.random.ID	X..Dryas.flwrs	Dryas.seed.Ripeness	Notes	Chamber	C.W	Site.x.x.x	Species.y.y	Community.x.x	Plot.x.x.x	Plant.ID.x.x.x	Unique.Random.ID.x	Number.of.Seeds	Seed.weight.mg	Seed.Agar.group	Jan22.Low	Jan25.Low	Jan28.Low	Jan31.Low	Feb1st	Percent_germ	Plate.y	Location.y	Numb.Lv	Weight.y	DNA.extraction.comments	Hair.on.leaves	Petioles	Observer	Unique.Random.ID.1	Species	Site.y.y.y	Community.y.y	Plot.y.y.y	C.W.G	Plant.ID.y.y.y	Leaf.collection.DOY.y	Phenology	Collector.y	Latitude	Longitude	Comments
SE	A	C	L	125	11	SE_A_C_L_125_11_F112561_R1_val_1_bismark_bt2_pe.bam	54446369	29387910	18997910	6060428	121	7801590	21586320	683942493	43263641	42691779	31743623	77442014	57811996	430989440	WILL7C	445	C1.F08.C1a10_WILL7C_445_125_R1_val_1_bismark_bt2_pe.bam	54074498	37934453	7466749	8673113	183	5680826	32253627	1137835620	36501874	86684229	21015861	136755511	20718136	836160009	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra	WILL_7_C_445	Dryas	WILL	7	C	445	219	NA	NA	5	NA	NA	5	NA	43	Sen	10	WILL	C	7	445	Longterm	17	Y		7	Y	0.05	3:17	209	208	5	NA	NA	NA	1 and 2	a10		Dr125	C	445	Dryas	WILL	7	50	45	42	0	224	Y	50	4.48	NA	0.97	3.51	Y	Hailey		164	1	2		LOW	C	Alexandra Fiord	D. integrifolia	WILL	7	445	125	25	0.008	D2	0	4	8	8	8	0.32	1 and 2	a10	10	14.5-2.4		1	S	Cassandra	125	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra			
SE	A	C	L	125	11	SE_A_C_L_125_11_F112561_R1_val_1_bismark_bt2_pe.bam	54446369	29387910	18997910	6060428	121	7801590	21586320	683942493	43263641	42691779	31743623	77442014	57811996	430989440	WILL7C	445	C1.F08.C1a10_WILL7C_445_125_R1_val_1_bismark_bt2_pe.bam	54074498	37934453	7466749	8673113	183	5680826	32253627	1137835620	36501874	86684229	21015861	136755511	20718136	836160009	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra	WILL_7_C_445	Dryas	WILL	7	C	445	219	NA	NA	5	NA	NA	5	NA	43	Sen	10	WILL	C	7	445	Longterm	17	Y		7	Y	0.05	3:17	209	208	5	NA	NA	NA	1 and 2	a10		Dr125	C	445	Dryas	WILL	7	50	45	42	0	224	Y	50	4.48	NA	0.97	3.51	Y	Hailey		164	1	2		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	7	445	125	25	0.008	D2	0	1	7	7	7	0.28	1 and 2	a10	10	14.5-2.4		1	S	Cassandra	125	D. integrifolia	Alexandra Fiord	WILL	7	C	445	224	Longterm	Cassandra			
SE	A	C	L	170	5	SE_A_C_L_170_5_F112555_R1_val_1_bismark_bt2_pe.bam	58879325	29419116	25066839	4393275	95	12144846	17274270	558548636	22988694	35291889	16538938	58694064	35808244	389226807	FERT31C	15F	C1.C10.C1f12_FERT31C_15F_170_R1_val_1_bismark_bt2_pe.bam	53722275	37477353	7438073	8806626	223	5646290	31831063	1078357063	36180270	78827167	22843027	126751846	30178123	783576630	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra	FERT_31_C_15F	Dryas	FERT	31	C	15F	219	NA	NA	8	1	NA	NA	NA	56	Cap	9	FERT	C	31	15F	Y	4	Y	y	3	Y	0.03	12:23	209	208	8	NA	NA	NA	1 and 2	f12		Dr170	C	15F	Dryas	FERT	31	50	50	NA	0	224	Y	50	8.15	NA	3.63	4.52	Y	Zoe		120	2	2		LOW	C	Alexandra Fiord	D. integrifolia	FERT	31	15F	170	28	0.007	C3	0	3	7	9	9	0.321428571	1 and 2	f12	6	15.9-4.2		1	S	Cassandra	170	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra			
SE	A	C	L	170	5	SE_A_C_L_170_5_F112555_R1_val_1_bismark_bt2_pe.bam	58879325	29419116	25066839	4393275	95	12144846	17274270	558548636	22988694	35291889	16538938	58694064	35808244	389226807	FERT31C	15F	C1.C10.C1f12_FERT31C_15F_170_R1_val_1_bismark_bt2_pe.bam	53722275	37477353	7438073	8806626	223	5646290	31831063	1078357063	36180270	78827167	22843027	126751846	30178123	783576630	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra	FERT_31_C_15F	Dryas	FERT	31	C	15F	219	NA	NA	8	1	NA	NA	NA	56	Cap	9	FERT	C	31	15F	Y	4	Y	y	3	Y	0.03	12:23	209	208	8	NA	NA	NA	1 and 2	f12		Dr170	C	15F	Dryas	FERT	31	50	50	NA	0	224	Y	50	8.15	NA	3.63	4.52	Y	Zoe		120	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	FERT	31	15F	170	28	0.007	C3	0	1	3	6	6	0.214285714	1 and 2	f12	6	15.9-4.2		1	S	Cassandra	170	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra			
SE	L	C	H	187	98	SE_L_C_H_187_98_F112565_R1_val_1_bismark_bt2_pe.bam	53960871	34940390	12691429	6328967	85	11680384	23260006	631942858	42081228	31631199	32013623	61403736	63538623	401274449	LATJ	00C	C2.27.3e1_LATJ_00C_187_R1_val_1_bismark_bt2_pe.bam	73121593	54343338	10228875	8549150	230	6644141	47699197	1805625041	55703342	122752771	30031186	220284337	34718461	1342134944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	outside	C12	187	25	0.013	C3	1	0	3	4	4	0.16	3 and 4	e1	2	11.5		NA			187	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	outside	C	C12	238	N	Johan Martinelli			
SE	L	C	H	187	98	SE_L_C_H_187_98_F112565_R1_val_1_bismark_bt2_pe.bam	53960871	34940390	12691429	6328967	85	11680384	23260006	631942858	42081228	31631199	32013623	61403736	63538623	401274449	LATJ	00C	C2.27.3e1_LATJ_00C_187_R1_val_1_bismark_bt2_pe.bam	73121593	54343338	10228875	8549150	230	6644141	47699197	1805625041	55703342	122752771	30031186	220284337	34718461	1342134944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	outside	C12	187	25	0.013	C3	0	0	3	5	5	0.2	3 and 4	e1	2	11.5		NA			187	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	outside	C	C12	238	N	Johan Martinelli			
SE	L	C	H	191	100	SE_L_C_H_191_100_F112569_R1_val_1_bismark_bt2_pe.bam	41447663	26452527	10370215	4624837	84	4778534	21673993	713631337	36304125	42843010	26018983	76435061	33252619	498777539	LATD5C	5	C2.A11.C2a2_LATD5C_5_191_R1_val_1_bismark_bt2_pe.bam	64006301	44260798	10476130	9269139	234	7747454	36513344	1299157136	48711248	81496012	28385962	152193187	24755841	963614886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl5	C5	191	25	0.01	C3	0	1	4	6	6	0.24	3 and 4	a2	4	15-4.5		NA			191	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl5	C	C5	234	N	Johan Martinelli			
SE	L	C	H	191	100	SE_L_C_H_191_100_F112569_R1_val_1_bismark_bt2_pe.bam	41447663	26452527	10370215	4624837	84	4778534	21673993	713631337	36304125	42843010	26018983	76435061	33252619	498777539	LATD5C	5	C2.A11.C2a2_LATD5C_5_191_R1_val_1_bismark_bt2_pe.bam	64006301	44260798	10476130	9269139	234	7747454	36513344	1299157136	48711248	81496012	28385962	152193187	24755841	963614886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl5	C5	191	25	0.01	C3	0	0	1	2	3	0.12	3 and 4	a2	4	15-4.5		NA			191	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl5	C	C5	234	N	Johan Martinelli			
SE	L	C	H	191	102	SE_L_C_H_191_102_F112568_R1_val_1_bismark_bt2_pe.bam	42360257	20173189	18867303	3319704	61	3649932	16523257	506790206	20438906	27238988	13246228	55927047	17236874	372702163	LATD5C	5	C2.A11.C2a2_LATD5C_5_191_R1_val_1_bismark_bt2_pe.bam	64006301	44260798	10476130	9269139	234	7747454	36513344	1299157136	48711248	81496012	28385962	152193187	24755841	963614886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl5	C5	191	25	0.01	C3	0	1	4	6	6	0.24	3 and 4	a2	4	15-4.5		NA			191	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl5	C	C5	234	N	Johan Martinelli			
SE	L	C	H	191	102	SE_L_C_H_191_102_F112568_R1_val_1_bismark_bt2_pe.bam	42360257	20173189	18867303	3319704	61	3649932	16523257	506790206	20438906	27238988	13246228	55927047	17236874	372702163	LATD5C	5	C2.A11.C2a2_LATD5C_5_191_R1_val_1_bismark_bt2_pe.bam	64006301	44260798	10476130	9269139	234	7747454	36513344	1299157136	48711248	81496012	28385962	152193187	24755841	963614886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl5	C5	191	25	0.01	C3	0	0	1	2	3	0.12	3 and 4	a2	4	15-4.5		NA			191	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl5	C	C5	234	N	Johan Martinelli			
SE	L	C	H	194	92	SE_L_C_H_194_92_F112566_R1_val_1_bismark_bt2_pe.bam	67927600	45297395	14633557	7996571	77	15146776	30150619	1004148922	67087124	47503761	48970411	96366546	68160005	676061075	LATJ	02C	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	2	1	1	1	0.04	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
SE	L	C	H	194	92	SE_L_C_H_194_92_F112566_R1_val_1_bismark_bt2_pe.bam	67927600	45297395	14633557	7996571	77	15146776	30150619	1004148922	67087124	47503761	48970411	96366546	68160005	676061075	LATJ	02C	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	0	0	0	0	0	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
SE	L	C	H	194	92J	SE_L_C_H_194_92J_F112572_R1_val_1_bismark_bt2_pe.bam	51370418	33388712	12588572	5393023	111	13171467	20217245	662530592	30716165	38308194	21989016	68594773	53355382	449567062	LATJ	02C	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	2	1	1	1	0.04	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
SE	L	C	H	194	92J	SE_L_C_H_194_92J_F112572_R1_val_1_bismark_bt2_pe.bam	51370418	33388712	12588572	5393023	111	13171467	20217245	662530592	30716165	38308194	21989016	68594773	53355382	449567062	LATJ	02C	C2.25.3d2_LATJ_02C_194_R1_val_1_bismark_bt2_pe.bam	68371811	50814419	9152226	8404980	186	6453000	44361419	1639098478	52594540	108353540	28216228	198574067	33485399	1217874704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HIGH	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	ctrl2	C18	194	25	0.01	D1	0	0	0	0	0	0	3 and 4	d2	3	10.5		NA			194	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	ctrl2	C	C18	240	N	Johan Martinelli			
SE	L	C	L	187	38	SE_L_C_L_187_38_F112560_R1_val_1_bismark_bt2_pe.bam	70394813	48026640	16134062	6234013	98	16202686	31823954	1076806261	56765286	50522822	38218877	106984381	60014450	764300445	LATJ	00C	C2.27.3e1_LATJ_00C_187_R1_val_1_bismark_bt2_pe.bam	73121593	54343338	10228875	8549150	230	6644141	47699197	1805625041	55703342	122752771	30031186	220284337	34718461	1342134944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	LOW	C	Latnjajaure Field Station (LFS)	D.octopetala	Dryas	outside	C12	187	25	0.013	C3	1	0	3	4	4	0.16	3 and 4	e1	2	11.5		NA			187	D.octopetala	Latnjajaure Field Station (LFS)	Dryas	outside	C	C12	238	N	Johan Martinelli			
