Plate,Location,Unique Random ID,Numb Lv,Weight,DNA extraction comments,Hair on leaves,Petioles,Observer,Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector,Latitude,Longitude,Comments
3 and 4,g1,189,5,15.8-4.5,,,,,189,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC?,W,W13,226,N,Mario Rudner,,,mature
3 and 4,h1,190,3,11.1,,,,,190,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC5,W,W18,234,N,Johan Martinelli,,,mature
3 and 4,a2,191,4,15-4.5,,,,,191,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl5,C,C5,234,N,Johan Martinelli,,,
3 and 4,b2,192,2,10.7,,,,,192,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C10,238,N,Johan Martinelli,,,
3 and 4,c2,193,5,14.8-4.5,,,,,193,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W2,203,N,Mario Rudner,,,Dry flower head
3 and 4,d2,194,3,10.5,,,,,194,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl2,C,C18,240,N,Johan Martinelli,,,
3 and 4,e2,195,4,14.5-4.5,,,,,195,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC5,W,W17,234,N,Johan Martinelli,,,mature
3 and 4,f2,196,6,10.7,,,,,196,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl4,C,C3,221,N,Mario Rudner,,,
3 and 4,g2,197,2,18-4.4,,,,,197,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C14,238,N,Johan Martinelli,,,
3 and 4,h2,198,3,10.5,,,,,198,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl2,C,C6,234,N,Johan Martinelli,,,
3 and 4,a3,199,3,16.7-4.4,,,,,199,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl5,C,C20,240,N,Johan Martinelli,,,
3 and 4,b3,200,5,12.3,,,,,200,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC?,W,W14,226,N,Mario Rudner,,,mature
3 and 4,c3,201,5,14.8-4.4,,,,,201,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl5,C,C2,203,N,Mario Rudner,,,possible dried last years flower
3 and 4,d3,202,7,10.6,,,,,202,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC5,W,W20,234,N,Johan Martinelli,,,mature
3 and 4,e3,203,5,15.2-4.4,,,,,203,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl2,C,C1,203,N,Mario Rudner,,,possible dried last years flower
3 and 4,f3,204,2,10.8,,,,,204,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C9,238,N,Johan Martinelli,,,
3 and 4,g3,205,3,17.5-4.4,,,,,205,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl5,C,C19,240,N,Johan Martinelli,,,
3 and 4,h3,206,4,10.5,,,,,206,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W5,203,N,Mario Rudner,,,Dry flower head
3 and 4,a4,207,3,11.8,,,,Hailey,207,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC4,W,W9,203,N,Mario Rudner,,,Dry flower head
3 and 4,b4,208,3,16.8-5.2,,,,Cassandra,208,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C8,238,N,Johan Martinelli,,,
3 and 4,c4,209,4,14.8,,,,,209,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl2,C,C7,234,N,Johan Martinelli,,,
3 and 4,d4,210,3,13.3,,,,,210,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C11,238,N,Johan Martinelli,,,
3 and 4,e4,211,4,14.8,,,,,211,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC4,W,W8,203,N,Mario Rudner,,,Dry flower head
3 and 4,f4,212,5,15-3.8,little leaf tissue left,,,,212,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W4,203,N,Mario Rudner,,,Dry flower head
3 and 4,g4,213,5,14.7,,,,,213,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W3,203,N,Mario Rudner,,,Dry flower head
3 and 4,h4,214,3,17.8-3.8,,,,,214,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C16,238,N,Johan Martinelli,,,
3 and 4,a5,215,7,14.6,,,,,215,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC4,W,W10,203,N,Mario Rudner,,,Dry flower head
3 and 4,b5,216,3,14.6-3.8,,,,,216,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC9,W,W11,209,N,Mario Rudner,,,Fresh head
3 and 4,c5,217,4,12.9,,,,,217,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W1,203,N,Mario Rudner,,,Dry flower head
3 and 4,d5,218,4,14-3.8,,,,,218,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC?,W,W15,226,N,Mario Rudner,,,mature
3 and 4,e5,219,7,13,,,,,219,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC1,W,W12,226,N,Mario Rudner,,,Fresh head
3 and 4,f5,220,4,15.3-3.8,long petioles - first plant from Sweden with petioles attached,,,,220,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC3,W,W16,234,N,Johan Martinelli,,,mature
3 and 4,g5,221,4,13.2,,,,,221,D.octopetala,Latnjajaure Field Station (LFS),Carex,OTC5,W,W19,234,N,Johan Martinelli,,,mature
3 and 4,h5,222,2,15.7-3.8,,,,,222,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C15,238,N,Johan Martinelli,,,
3 and 4,a6,223,6,13.9,,,,,223,D.octopetala,Latnjajaure Field Station (LFS),Dryas,ctrl1,C,C4,234,N,Johan Martinelli,,,
3 and 4,b6,224,3,17.6-3.8,,,,,224,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C13,238,N,Johan Martinelli,,,
3 and 4,c6,225,2,12.6,,,,,225,D.octopetala,Latnjajaure Field Station (LFS),Dryas,outside,C,C17,238,N,Johan Martinelli,,,
3 and 4,d6,226,5,12.7,,,,,226,D.octopetala,Latnjajaure Field Station (LFS),Dryas,OTC2,W,W6,203,N,Mario Rudner,,,Dry flower head
3 and 4,e6,227,5,15.6,4 hairy lv,4,,,227,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C9,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f6,228,3,19.3-3.8,"3 hairy, elongated lvs, redish lvs",3,,,228,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W5,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g6,229,5,15.2,1-hairy,1,,,229,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C18,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h6,230,2,16.6-3.8,2- hairy,2,,,230,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C8,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a7,231,5,12.8,2- hairy,2,,,231,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C17,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b7,232,5,15.5,1- hairy,1,,,232,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W6,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c7,233,3,12.6,2-hairy,2,,,233,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W13,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d7,234,4,15.4,2- hairy,2,,,234,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C14,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e7,235,4,16.6-3.8,"2-hairy, serated lvs like Sweden samples",2,,,235,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W17,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f7,236,4,11.4,1 hairy,1,,,236,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W3,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g7,237,4,18-3.8,"3- hairy, dark pigment lvs",3,,,237,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C11,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h7,238,4,13.4,1 hairy,1,,,238,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C5,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a8,239,6,13.4,2-hairy,2,,,239,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W16,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b8,240,3,16.3-4.3,3 hairy,3,,,240,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C4,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c8,241,3,16.1-4.3,2-hairy,2,,,241,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W2,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d8,242,5,13.6,2-hairy,2,,,242,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W15,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e8,243,3,10.4,2-hairy,2,,,243,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W10,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f8,244,3,18.2-4.3,2-hairy,2,,,244,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W11,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g8,245,3,15.8,1-hairy,1,,,245,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W9,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h8,246,3,19.2-4.3,2-hairy,2,,,246,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C10,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a9,247,4,13.3,1-hairy,1,,,247,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W20,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b9,248,3,14.6-4.3,"bright green, 2 -hairy",2,,,248,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W18,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c9,249,5,13.9,2 hairy,2,,,249,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W14,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d9,250,3,16.6-4.3,2- hairy,2,,,250,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C1,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e9,251,3,14.2,4 hairy lv,4,,,251,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W4,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f9,252,4,13.5,1 hairy,1,,,252,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W12,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g9,253,4,17.3-4.3,3 hairy,3,,,253,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C20,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h9,254,4,12.8,3 hairy,3,,,254,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C13,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a10,255,4,10.9,1 hairy,1,,,255,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C7,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b10,256,4,17.9-4.3,2 - hairy,2,,,256,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C12,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c10,257,3,15.1,1 hairy,1,,,257,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W1,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d10,258,2,16.3-4.3,2 hairy,2,,,258,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C3,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e10,259,3,11.1,1 hairy,1,,,259,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C16,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,f10,260,4,12.3,2 hairy,2,,,260,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W19,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,g10,261,4,16.5-4.3,1 hairy,1,,,261,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C19,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,h10,262,5,14.2,2 hairy,2,,,262,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C15,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,a11,263,2,16.9-4.3,"1 hairy, large green serated leaves",1,,,263,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W7,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,b11,264,3,14.4, 1 hairy,1,,,264,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C2,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,c11,265,2,16.5,"large green leaves, 1 hairy",1,,,265,D.octopetala,"Toolik Lake, Alaska, USA",NA,,W,W8,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,d11,266,3,16.2-4.3,1 hairy,1,,,266,D.octopetala,"Toolik Lake, Alaska, USA",NA,,C,C6,235,N,Jeremy May,68d37'21.09N,149d35'52.90W,
3 and 4,e11,267,3,13.7,"1 -no hair, sharp serated leaves",1,,,267,D.octopetala,Svalbard,NA,12,W,W12,NA,N,Petr Matek,,,No seed
3 and 4,f11,268,4,11.9,1 hairy,1,,,268,D.octopetala,Svalbard,NA,6,C,C6,NA,N,Petr Matek,,,No seed
3 and 4,g11,269,5,11.3,1 hairy,1,,,269,D.octopetala,Svalbard,NA,18,C,C18,NA,N,Petr Matek,,,No seed
3 and 4,h11,270,4,14.5,1 hairy,1,,,270,D.octopetala,Svalbard,NA,49,W,W49,NA,N,Petr Matek,,,Yes seed
3 and 4,a12,271,5,11.2,"1 hairy, small leaves",1,,,271,D.octopetala,Svalbard,NA,18,W,W18,NA,N,Petr Matek,,,No seed
3 and 4,b12,272,4,14.4,1 - hairy,1,,,272,D.octopetala,Svalbard,NA,8,W,W8,NA,N,Petr Matek,,,Yes seed
3 and 4,c12,273,7,13.4,lots of tissue,,,,273,D.octopetala,Svalbard,NA,12,C,C12,NA,N,Petr Matek,,,No seed
3 and 4,d12,274,6,13.8,1 - hairy,1,,,274,D.octopetala,Svalbard,NA,6,W,W6,NA,N,Petr Matek,,,No seed
3 and 4,e12,275,5,12.5,1 - hairy,1,,,275,D.octopetala,Svalbard,NA,8,C,C8,NA,N,Petr Matek,,,No seed
3 and 4,f12,276,4,11,1 - hairy,1,,,276,D.octopetala,Svalbard,NA,16,C,C16,NA,N,Petr Matek,,,No seed
3 and 4,g12,277,6,12.7,1 - hairy,1,,,277,D.octopetala,Svalbard,NA,16,W,W16,NA,N,Petr Matek,,,No seed
3 and 4,h12,278,4,13.2,1 - hairy,1,,,278,D.octopetala,Svalbard,NA,49,C,C49,NA,N,Petr Matek,,,Yes seed
