ID,TotalMeth,Treat,SubSite,Plot,Plant,NA,NA,NA,NA,NA,NA,NA,Site
W_CASS_04W_519_NA,0,W,CASS,04W,519,NA,Alex,W,CASS,04W,519,NA,Alex
W_WILL_7W_448_107,NA,W,WILL,7W,448,107,Alex,W,WILL,7W,448,107,Alex
W_FERT_14W_6F_126,1143.73408,W,FERT,14W,6F,126,Alex,W,FERT,14W,6F,126,Alex
W_LATJ_04W_NA_188,1335.03303,W,LATJ,04W,NA,188,LATJ,W,LATJ,04W,NA,188,LATJ
W_LATC_1W_12_219,1471.1548,W,LATC,1W,12,219,LATJ,W,LATC,1W,12,219,LATJ
W_ALAS_0W_14_249,2129.18361,W,ALAS,0W,14,249,ALAS,W,ALAS,0W,14,249,ALAS
W_LATC_9W_11_216,1660.25252,W,LATC,9W,11,216,LATJ,W,LATC,9W,11,216,LATJ
W_DRY_6W_31_147,980.16449,W,DRY,6W,31,147,Alex,W,DRY,6W,31,147,Alex
W_SVAL_6W_6_274,1924.76346,W,SVAL,6W,6,274,SVAL,W,SVAL,6W,6,274,SVAL
W_SVAL_18W_18_271,1529.18321,W,SVAL,18W,18,271,SVAL,W,SVAL,18W,18,271,SVAL
W_LATD_4W_8_211,495.00416,W,LATD,4W,8,211,LATJ,W,LATD,4W,8,211,LATJ
W_MEAD_2W_450_70,1327.21926,W,MEAD,2W,450,70,Alex,W,MEAD,2W,450,70,Alex
W_ALAS_00W_00_228,2151.79587,W,ALAS,00W,00,228,ALAS,W,ALAS,00W,00,228,ALAS
W_DRY_9W_50_185,1021.68001,W,DRY,9W,50,185,Alex,W,DRY,9W,50,185,Alex
W_LATD_2W_5_206,979.88869,W,LATD,2W,5,206,LATJ,W,LATD,2W,5,206,LATJ
W_ALAS_0W_8_265,1399.86803,W,ALAS,0W,8,265,ALAS,W,ALAS,0W,8,265,ALAS
W_WILL_5W_421_154,1851.70635,W,WILL,5W,421,154,Alex,W,WILL,5W,421,154,Alex
W_LATJ_02W_00_193,1696.96008,W,LATJ,02W,00,193,LATJ,W,LATJ,02W,00,193,LATJ
W_ALAS_0W_7_263,263.809522,W,ALAS,0W,7,263,ALAS,W,ALAS,0W,7,263,ALAS
W_MEAD_6W_466_163,1839.60297,W,MEAD,6W,466,163,Alex,W,MEAD,6W,466,163,Alex
W_WILL_4W_417_13,1584.5621,W,WILL,4W,417,13,Alex,W,WILL,4W,417,13,Alex
W_MEAD_1W_444_116,907.1631,W,MEAD,1W,444,116,Alex,W,MEAD,1W,444,116,Alex
W_MEAD_08W_4R0_NA,1022.42864,W,MEAD,08W,4R0,NA,Alex,W,MEAD,08W,4R0,NA,Alex
W_LATC_3W_16_220,1256.29466,W,LATC,3W,16,220,LATJ,W,LATC,3W,16,220,LATJ
W_LATD_2W_4_212,1510.00256,W,LATD,2W,4,212,LATJ,W,LATD,2W,4,212,LATJ
W_WILL_1W_403_67,530.874394,W,WILL,1W,403,67,Alex,W,WILL,1W,403,67,Alex
W_SVAL_16W_16_277,1930.63493,W,SVAL,16W,16,277,SVAL,W,SVAL,16W,16,277,SVAL
W_DRY_1W_3_39,1062.39575,W,DRY,1W,3,39,Alex,W,DRY,1W,3,39,Alex
W_DRY_3W_15_69,1433.75917,W,DRY,3W,15,69,Alex,W,DRY,3W,15,69,Alex
W_CASS_9W_539_128,764.11288,W,CASS,9W,539,128,Alex,W,CASS,9W,539,128,Alex
W_ALAS_0W_18_248,1356.92593,W,ALAS,0W,18,248,ALAS,W,ALAS,0W,18,248,ALAS
W_SVAL_0W_00_267,1607.62004,W,SVAL,0W,00,267,SVAL,W,SVAL,0W,00,267,SVAL
W_FERT_22W_12F_111,1417.34127,W,FERT,22W,12F,111,Alex,W,FERT,22W,12F,111,Alex
W_CASS_17W_574_137,2027.68835,W,CASS,17W,574,137,Alex,W,CASS,17W,574,137,Alex
W_CASS_10W_544_60,1830.33589,W,CASS,10W,544,60,Alex,W,CASS,10W,544,60,Alex
W_ALAS_0W_15_242,1495.62515,W,ALAS,0W,15,242,ALAS,W,ALAS,0W,15,242,ALAS
W_ALAS_0W_16_239,251.928118,W,ALAS,0W,16,239,ALAS,W,ALAS,0W,16,239,ALAS
W_FERT_30W_14F_40,1904.89172,W,FERT,30W,14F,40,Alex,W,FERT,30W,14F,40,Alex
W_LATD_4W_9_207,1716.38513,W,LATD,4W,9,207,LATJ,W,LATD,4W,9,207,LATJ
W_MEAD_7W_470_173,976.94179,W,MEAD,7W,470,173,Alex,W,MEAD,7W,470,173,Alex
W_ALAS_0W_17_235,2147.14204,W,ALAS,0W,17,235,ALAS,W,ALAS,0W,17,235,ALAS
W_SVAL_0W_NA_270,1655.45371,W,SVAL,0W,NA,270,SVAL,W,SVAL,0W,NA,270,SVAL
W_CASS_7W_600_19,1409.19851,W,CASS,7W,600,19,Alex,W,CASS,7W,600,19,Alex
W_SVAL_8W_8_272,1384.13919,W,SVAL,8W,8,272,SVAL,W,SVAL,8W,8,272,SVAL
W_ALAS_00W_00_232,1533.12726,W,ALAS,00W,00,232,ALAS,W,ALAS,00W,00,232,ALAS
W_DRY_8W_45_155,1930.44859,W,DRY,8W,45,155,Alex,W,DRY,8W,45,155,Alex
W_FERT_6W_3F_110,1875.90141,W,FERT,6W,3F,110,Alex,W,FERT,6W,3F,110,Alex
W_LATC_5W_18_190,1323.87752,W,LATC,5W,18,190,LATJ,W,LATC,5W,18,190,LATJ
W_CASS_5W_525_130,1716.06228,W,CASS,5W,525,130,Alex,W,CASS,5W,525,130,Alex
W_ALAS_0W_3_236,2004.77191,W,ALAS,0W,3,236,ALAS,W,ALAS,0W,3,236,ALAS
W_WILL_10W_437_84,1681.30536,W,WILL,10W,437,84,Alex,W,WILL,10W,437,84,Alex
C_WILL_5C_422_31,1794.26892,C,WILL,5C,422,31,Alex,C,WILL,5C,422,31,Alex
C_CASS_10C_548_144,1564.95024,C,CASS,10C,548,144,Alex,C,CASS,10C,548,144,Alex
C_CASS_4C_524_4,1323.40215,C,CASS,4C,524,4,Alex,C,CASS,4C,524,4,Alex
C_FERT_39C_20F_71,1898.06362,C,FERT,39C,20F,71,Alex,C,FERT,39C,20F,71,Alex
C_FERT_5C_1F_97,696.26918,C,FERT,5C,1F,97,Alex,C,FERT,5C,1F,97,Alex
C_ALAS_00C_00_227,0,C,ALAS,00C,00,227,ALAS,C,ALAS,00C,00,227,ALAS
C_SVAL_16C_16_276,660.01709,C,SVAL,16C,16,276,SVAL,C,SVAL,16C,16,276,SVAL
C_CASS_8C_535_54,0,C,CASS,8C,535,54,Alex,C,CASS,8C,535,54,Alex
C_ALAS_0C_10_246,6.666667,C,ALAS,0C,10,246,ALAS,C,ALAS,0C,10,246,ALAS
C_DRY_9C_53_149,1084.52936,C,DRY,9C,53,149,Alex,C,DRY,9C,53,149,Alex
C_CASS_09C_00_541,1043.13854,C,CASS,09C,00,541,Alex,C,CASS,09C,00,541,Alex
C_MEAD_7C_473_95,491.472735,C,MEAD,7C,473,95,Alex,C,MEAD,7C,473,95,Alex
C_MEAD_03C_1R0_00,1381.80808,C,MEAD,03C,1R0,00,Alex,C,MEAD,03C,1R0,00,Alex
C_MEAD_2C_451_76,1107.65211,C,MEAD,2C,451,76,Alex,C,MEAD,2C,451,76,Alex
C_ALAS_0C_13_254,878.97913,C,ALAS,0C,13,254,ALAS,C,ALAS,0C,13,254,ALAS
C_LATD_5C_2_201,1713.74017,C,LATD,5C,2,201,LATJ,C,LATD,5C,2,201,LATJ
C_LATD_2C_7_209,924.8213,C,LATD,2C,7,209,LATJ,C,LATD,2C,7,209,LATJ
C_WILL_7C_445_125,1110.69427,C,WILL,7C,445,125,Alex,C,WILL,7C,445,125,Alex
C_LATJ_00C_00_187,1354.42944,C,LATJ,00C,00,187,LATJ,C,LATJ,00C,00,187,LATJ
C_MEAD_1C_446_33,1344.93898,C,MEAD,1C,446,33,Alex,C,MEAD,1C,446,33,Alex
C_ALAS_0C_18_229,1899.3988,C,ALAS,0C,18,229,ALAS,C,ALAS,0C,18,229,ALAS
C_DRY_5C_28_92,1628.5573,C,DRY,5C,28,92,Alex,C,DRY,5C,28,92,Alex
C_DRY_2C_10_52,819.01646,C,DRY,2C,10,52,Alex,C,DRY,2C,10,52,Alex
C_LATD_2C_6_198,92.118703,C,LATD,2C,6,198,LATJ,C,LATD,2C,6,198,LATJ
C_LATD_1C_4_223,1061.58966,C,LATD,1C,4,223,LATJ,C,LATD,1C,4,223,LATJ
C_SVAL_0C_00_268,1771.60132,C,SVAL,0C,00,268,SVAL,C,SVAL,0C,00,268,SVAL
C_SVAL_0C_00_269,1994.7425,C,SVAL,0C,00,269,SVAL,C,SVAL,0C,00,269,SVAL
C_WILL_10C_440_16,30.860806,C,WILL,10C,440,16,Alex,C,WILL,10C,440,16,Alex
C_LATD_2C_1_203,1144.887857,C,LATD,2C,1,203,LATJ,C,LATD,2C,1,203,LATJ
C_LATD_5C_5_191,1129.0055,C,LATD,5C,5,191,LATJ,C,LATD,5C,5,191,LATJ
C_SVAL_12C_12_273,1885.35296,C,SVAL,12C,12,273,SVAL,C,SVAL,12C,12,273,SVAL
C_FERT_13C_7F_112,735.768398,C,FERT,13C,7F,112,Alex,C,FERT,13C,7F,112,Alex
C_LATJ_02C_00_194,1160.56454,C,LATJ,02C,00,194,LATJ,C,LATJ,02C,00,194,LATJ
C_ALAS_0C_19_261,1261.60192,C,ALAS,0C,19,261,ALAS,C,ALAS,0C,19,261,ALAS
C_CASS_17C_576_175,1054.16936,C,CASS,17C,576,175,Alex,C,CASS,17C,576,175,Alex
C_DRY_10C_60_41,832.886677,C,DRY,10C,60,41,Alex,C,DRY,10C,60,41,Alex
C_MEAD_6C_468_22,640.73426,C,MEAD,6C,468,22,Alex,C,MEAD,6C,468,22,Alex
C_WILL_3C_414_100,1699.91751,C,WILL,3C,414,100,Alex,C,WILL,3C,414,100,Alex
C_SVAL_49C_49_278,1026.36944,C,SVAL,49C,49,278,SVAL,C,SVAL,49C,49,278,SVAL
C_FERT_31C_15F_170,5,C,FERT,31C,15F,170,Alex,C,FERT,31C,15F,170,Alex
C_ALAS_0C_00_231,900.30837,C,ALAS,0C,00,231,ALAS,C,ALAS,0C,00,231,ALAS
C_SVAL_8C_8_275,1285.70334,C,SVAL,8C,8,275,SVAL,C,SVAL,8C,8,275,SVAL
C_ALAS_0C_5_238,743.34811,C,ALAS,0C,5,238,ALAS,C,ALAS,0C,5,238,ALAS
C_ALAS_0C_12_256,830.64849,C,ALAS,0C,12,256,ALAS,C,ALAS,0C,12,256,ALAS
C_LATD_4C_3_196,978.76984,C,LATD,4C,3,196,LATJ,C,LATD,4C,3,196,LATJ
C_ALAS_0C_4_240,1218.61111,C,ALAS,0C,4,240,ALAS,C,ALAS,0C,4,240,ALAS
C_CASS_5C_529_159,1700.34162,C,CASS,5C,529,159,Alex,C,CASS,5C,529,159,Alex
C_DRY_4C_23_82,858.70081,C,DRY,4C,23,82,Alex,C,DRY,4C,23,82,Alex
C_LATD_5C_20_199,1373.50323,C,LATD,5C,20,199,LATJ,C,LATD,5C,20,199,LATJ
C_WILL_1C_406_152,1753.21694,C,WILL,1C,406,152,Alex,C,WILL,1C,406,152,Alex
C_ALAS_0C_3_258,267.806776,C,ALAS,0C,3,258,ALAS,C,ALAS,0C,3,258,ALAS
